system index,primary star type,close companion exists?,close companion star type,distant companion exists?,distant companion star type,primary name,close companion name,distant companion name,age,primary luminosity,close companion luminosity,distant companion luminosity,id,name,parent star(s),orbit index,parent body,moon index,belt length,type,size,composition,density,atmosphere thickness,primary atmospheric gas,oxygen,greenhouse effect,base temperature,proper temperature,surface liquid,liquid coverage,rings,geologically active,life,civilization,visual style,v2.0.0
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,0,Trorvit,1,5,-1,-1,null,0,3.5,5,0.2,-1,-1,0,0,11,11,0,0,0,false,0,0,0,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,1,Lorga,1,11,-1,-1,null,0,1.8,0,1.1,5,1,0,1,7,7,0,0,0,false,0,0,0,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,2,Chaborbla,1,25,-1,-1,null,0,0.3,1,0.4,3,1,0,1,2,2,0,0,1,false,0,0,2,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,3,Mai,1,15,-1,-1,null,0,0.2,0,1.0,2,1,0,0,5,5,0,0,0,false,0,0,4,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,4,Vebur,1,18,-1,-1,null,0,1.1,0,0.9,5,1,0,3,4,5,0,0,0,false,0,0,0,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,5,Plofa,1,34,-1,-1,null,0,0.15,1,0.5,0,0,0,0,0,0,0,0,0,true,2,2,2,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,6,Mablit,1,1,-1,-1,null,0,0.85,0,0.7,0,0,0,0,15,15,0,0,1,false,0,0,4,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,7,Schorpa,1,21,-1,-1,2,1,0.00047,1,0.3,0,0,0,0,3,3,0,0,1,true,2,2,0,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,8,Moro,1,21,-1,-1,2,1,0.00063,1,0.3,0,0,0,0,3,3,0,0,0,true,2,0,0,
        0,1,false,-1,false,-1,Scimer,Plojilo B,Turlothurs B,7.9,0.011305557709608248,0,0,9,Sarecur,1,29,-1,-1,3,1,0.0004,1,0.4,0,0,0,0,1,1,0,0,1,true,2,0,1,
